jobId,executionId,jobName,ticks,startedAt,finishedAt
9400cffd-f7f5-497e-baae-317be6619e32,59889ce2-59a9-45cd-8a63-a2f8ed8ead27,Job 11,2,2024-04-28T11:44:41.052Z,2024-04-28T11:44:44.003Z
1b34f02f-8fbc-472f-b1d7-13dcbc1f74db,7b6291d7-63c1-49c4-b4ee-21a88dbdcf01,Job 4,20,2024-04-28T11:44:41.048Z,2024-04-28T11:45:20.004Z
3c8bb7f3-8492-43be-9e7c-5fda42ec4522,89c812d2-f1f3-4162-a887-62d14904f639,Job 12,20,2024-04-28T11:44:41.057Z,2024-04-28T11:45:20.009Z
156d2dd4-ac86-466f-aa88-99faf0422839,7d37ecc1-a81e-48f1-bb19-6d63c4f706e8,Job 8,8,2024-04-28T11:45:23.027Z,2024-04-28T11:45:38.003Z
b2033294-e784-44e7-8784-9f2081bc9b24,39eb9dfb-04e5-46d6-923a-629de108b4bf,Job 1,12,2024-04-28T11:45:23.034Z,2024-04-28T11:45:46.003Z
9f8c8eb1-4aa9-4953-8a25-ce0ee208c5f3,2c45d2e6-2934-4cbf-b78d-ae30795a9d4a,Job 6,35,2024-04-28T11:44:41.062Z,2024-04-28T11:45:50.002Z
d312e1ea-d937-4fb9-8a38-af58b26283ca,02aebc38-095e-4070-a7f0-461e7ce3a737,Job 7,21,2024-04-28T11:45:23.024Z,2024-04-28T11:46:04.003Z
22acc819-57c2-4416-9592-d49cc304330b,8e63edfa-d152-4a8e-9946-53ff2bf84124,Job 13,38,2024-04-28T11:45:23.030Z,2024-04-28T11:46:38.002Z
abaf8b7a-c11e-4e4f-8af9-b01409141dff,9cfc509c-a857-46ae-9050-a5d82827299e,Job 5,53,2024-04-28T11:45:23.037Z,2024-04-28T11:47:08.003Z
1b34f02f-8fbc-472f-b1d7-13dcbc1f74db,10e5ef4d-ba9e-4182-87bd-284a0c866f70,Job 4,23,2024-04-28T11:46:36.015Z,2024-04-28T11:47:22.002Z
abaf8b7a-c11e-4e4f-8af9-b01409141dff,0f16e2d5-d909-4dc4-b373-5e4a6c85e056,Job 5,28,2024-04-28T11:47:08.023Z,2024-04-28T11:48:04.002Z
9400cffd-f7f5-497e-baae-317be6619e32,641c09ac-f160-48a1-903f-3abb4f5d16ec,Job 11,38,2024-04-28T11:47:08.020Z,2024-04-28T11:48:24.002Z
d312e1ea-d937-4fb9-8a38-af58b26283ca,760a7763-c70b-43b8-ab5f-6fa20d0d7075,Job 7,10,2024-04-28T11:48:05.024Z,2024-04-28T11:48:24.006Z
1b34f02f-8fbc-472f-b1d7-13dcbc1f74db,eb21f042-7b69-4a8d-b98d-641765d9918b,Job 4,7,2024-04-28T11:48:25.022Z,2024-04-28T11:48:38.001Z
113fda6c-5803-463d-ab76-544fcacab995,35daec71-703b-4609-8440-8bc06c8a1585,Job 9,1,2024-04-28T11:48:40.017Z,2024-04-28T11:48:42.001Z
9f8c8eb1-4aa9-4953-8a25-ce0ee208c5f3,0cf5d18a-67dc-4ec6-ae96-a11a79d800e7,Job 6,23,2024-04-28T11:48:05.020Z,2024-04-28T11:48:50.001Z
3c8bb7f3-8492-43be-9e7c-5fda42ec4522,4083e097-18f7-4149-abac-52719633f70c,Job 12,8,2024-04-28T11:48:38.014Z,2024-04-28T11:48:54.003Z
b2033294-e784-44e7-8784-9f2081bc9b24,939e096d-d6c4-46d1-b791-77889c61f768,Job 1,21,2024-04-28T11:48:25.019Z,2024-04-28T11:49:06.002Z
97f58b9e-de56-42b4-ad76-2a16eeec9476,15d0632d-3e64-4651-8471-fd0db74ce2f2,Job 3,28,2024-04-28T11:48:40.020Z,2024-04-28T11:49:36.002Z
156d2dd4-ac86-466f-aa88-99faf0422839,3d15c936-7550-47c5-ab53-ae7e5e4aed50,Job 8,41,2024-04-28T11:48:40.014Z,2024-04-28T11:50:02.002Z
1b34f02f-8fbc-472f-b1d7-13dcbc1f74db,caba6e13-2f61-4901-af36-a2703728d38a,Job 4,35,2024-04-28T11:49:35.018Z,2024-04-28T11:50:44.001Z
d312e1ea-d937-4fb9-8a38-af58b26283ca,ed3fdd16-8cb6-4383-84ea-a76627a26e86,Job 7,36,2024-04-28T11:50:03.019Z,2024-04-28T11:51:14.002Z
dfeb3bf5-b67a-4b9c-a81f-ce7652f97df3,18f6da14-fb8f-4e4c-a1b5-79de8befbd24,Job 10,25,2024-04-28T11:50:45.018Z,2024-04-28T11:51:34.001Z
9dfa295f-3e04-4712-908b-ea972e3fe6af,dd1993c1-2c15-4129-ad90-72b53289722d,Job 14,32,2024-04-28T11:50:45.020Z,2024-04-28T11:51:48.001Z
3c8bb7f3-8492-43be-9e7c-5fda42ec4522,32d41ef1-b439-4343-adf1-7bb7080fdd4a,Job 12,16,2024-04-28T11:51:35.017Z,2024-04-28T11:52:06.002Z
17a9760d-a9ce-40c7-bc8d-0b6e0ab972ea,227d2208-36b9-4b41-8423-fdc0101cdb53,Job 2,24,2024-04-28T11:51:49.018Z,2024-04-28T11:52:36.003Z
156d2dd4-ac86-466f-aa88-99faf0422839,d921b6b7-9030-4530-9ee2-f068fc20d066,Job 8,34,2024-04-28T11:51:35.018Z,2024-04-28T11:52:42.001Z
22acc819-57c2-4416-9592-d49cc304330b,0a62bfa8-d3d3-4266-8af9-5b27b24e559a,Job 13,8,2024-04-28T11:52:37.019Z,2024-04-28T11:52:52.002Z
113fda6c-5803-463d-ab76-544fcacab995,5a5f50b4-8d0d-4c8b-a20b-1e57adb21bf3,Job 9,9,2024-04-28T11:52:37.021Z,2024-04-28T11:52:54.002Z
1b34f02f-8fbc-472f-b1d7-13dcbc1f74db,ece3a790-ea3e-47a4-8b03-69f8c92f729c,Job 4,19,2024-04-28T11:52:53.015Z,2024-04-28T11:53:30.002Z
97f58b9e-de56-42b4-ad76-2a16eeec9476,54c15129-f792-49d1-8092-adf4d37aaffc,Job 3,7,2024-04-28T11:53:30.012Z,2024-04-28T11:53:44.003Z
9dfa295f-3e04-4712-908b-ea972e3fe6af,7d182b43-0e47-4c18-8609-9abe8c411779,Job 14,16,2024-04-28T11:53:30.013Z,2024-04-28T11:54:02.001Z
9f8c8eb1-4aa9-4953-8a25-ce0ee208c5f3,b1a20d1e-1d81-470e-b049-699944bc81b2,Job 6,10,2024-04-28T11:53:44.015Z,2024-04-28T11:54:04.001Z
abaf8b7a-c11e-4e4f-8af9-b01409141dff,78a29587-2460-4c69-973b-1965a804d677,Job 5,28,2024-04-28T11:53:44.011Z,2024-04-28T11:54:40.001Z
9400cffd-f7f5-497e-baae-317be6619e32,837ef3ba-def1-4393-a21f-943d6a2bf32b,Job 11,35,2024-04-28T11:53:44.013Z,2024-04-28T11:54:54.002Z
22acc819-57c2-4416-9592-d49cc304330b,575cfe8d-af4b-4ba2-8b06-c6ae749c6be1,Job 13,30,2024-04-28T11:54:54.014Z,2024-04-28T11:55:54.002Z
1b34f02f-8fbc-472f-b1d7-13dcbc1f74db,02f0b5a1-f590-4db7-82d4-5078f8dca5d2,Job 4,40,2024-04-28T11:54:54.013Z,2024-04-28T11:56:14.002Z
9dfa295f-3e04-4712-908b-ea972e3fe6af,18555872-46f6-46ae-88a5-0cdd4bb861c9,Job 14,13,2024-04-28T11:56:14.013Z,2024-04-28T11:56:40.002Z
17a9760d-a9ce-40c7-bc8d-0b6e0ab972ea,63dc6ef7-1d83-4775-b2ac-377d082e20b4,Job 2,35,2024-04-28T11:56:14.012Z,2024-04-28T11:57:24.002Z
156d2dd4-ac86-466f-aa88-99faf0422839,98abe3d4-c673-461a-bc30-c688a44775b0,Job 8,6,2024-04-28T11:57:24.016Z,2024-04-28T11:57:36.002Z
b2033294-e784-44e7-8784-9f2081bc9b24,86cf3610-7ecd-42e4-b885-6a914cbb62c6,Job 1,25,2024-04-28T11:57:24.011Z,2024-04-28T11:58:14.002Z
dfeb3bf5-b67a-4b9c-a81f-ce7652f97df3,84a1a35d-bc23-444b-8c25-f36772b0adc4,Job 10,34,2024-04-28T11:57:24.014Z,2024-04-28T11:58:32.002Z
